PRICE,FLOOR,BEDROOM,BATHROOM,ROAD,LAND,AGE,Cities,LAND_squared
2.9,3,5,4,12,4.0,5,4,16.0
4.75,4,5,6,10,3.0,5,4,9.0
1.99,2,4,4,10,2.3,21,4,5.289999999999999
4.0,2,4,3,12,7.0,22,4,49.0
1.2,2,4,4,20,6.0,10,3,36.0
2.7,2,6,5,12,6.0,5,4,36.0
3.3,2,4,3,13,3.2,7,4,10.240000000000002
4.0,2,5,4,14,4.3,16,3,18.49
4.5,5,13,5,10,2.2,15,3,4.840000000000001
3.0,3,5,5,12,5.0,6,4,25.0
4.99,3,6,5,13,5.2,2,4,27.040000000000003
2.45,2,4,2,16,3.0,11,3,9.0
2.5,4,4,5,13,4.0,3,3,16.0
4.25,2,4,4,20,4.0,3,4,16.0
6.5,2,4,5,12,6.2,4,4,38.440000000000005
3.6,2,4,5,13,4.2,4,4,17.64
5.8,3,6,6,14,5.0,3,4,25.0
2.5,3,5,7,12,3.2,3,4,10.240000000000002
4.8,3,4,4,16,5.2,4,4,27.040000000000003
6.65,3,4,5,20,4.1,4,3,16.81
5.5,2,4,5,12,5.0,3,4,25.0
4.75,2,4,4,20,3.1,6,4,9.610000000000001
2.95,3,5,4,13,3.2,6,4,10.240000000000002
6.35,2,5,3,10,5.0,3,4,25.0
6.4,2,4,4,26,7.0,6,4,49.0
3.5,2,3,4,20,4.0,1,4,16.0
2.2,2,6,5,16,3.0,3,3,9.0
3.75,2,4,4,16,3.0,3,4,9.0
5.5,3,6,7,13,4.2,4,4,17.64
5.5,2,4,4,13,3.3,6,4,10.889999999999999
3.19,2,5,3,13,4.1,3,4,16.81
2.5,2,4,3,13,3.0,7,3,9.0
6.25,2,5,6,13,6.4,3,4,40.96000000000001
2.8,2,4,4,12,2.2,3,4,4.840000000000001
4.8,2,6,4,25,5.0,3,4,25.0
2.5,3,5,3,13,3.1,5,4,9.610000000000001
3.35,2,4,2,19,5.0,5,4,25.0
3.5,2,4,3,19,5.0,6,4,25.0
4.0,2,4,5,18,4.0,5,4,16.0
6.0,2,5,3,13,7.0,5,4,49.0
2.5,2,4,4,12,3.5,10,4,12.25
2.7,2,5,4,12,3.3,3,4,10.889999999999999
2.75,2,5,4,12,3.0,7,4,9.0
3.25,2,6,4,15,3.3,4,4,10.889999999999999
2.8,2,5,4,13,3.1,3,4,9.610000000000001
3.1,3,6,4,12,3.2,3,4,10.240000000000002
4.0,2,4,4,13,5.0,4,3,25.0
3.5,2,3,3,15,6.0,6,3,36.0
3.15,2,6,5,20,5.2,3,4,27.040000000000003
2.9,2,6,6,13,3.2,4,4,10.240000000000002
4.25,3,5,4,20,4.2,3,4,17.64
4.65,2,4,4,12,4.0,7,4,16.0
4.0,2,5,4,20,4.0,1,4,16.0
5.95,3,6,5,16,5.0,3,4,25.0
3.9,2,4,4,13,5.0,3,4,25.0
3.2,3,8,3,13,4.0,3,4,16.0
3.25,3,8,3,13,4.0,4,4,16.0
5.15,2,4,4,20,7.1,7,4,50.41
3.5,3,8,6,10,4.0,6,3,16.0
3.25,2,4,4,20,4.3,3,4,18.49
3.2,2,5,6,13,3.1,7,3,9.610000000000001
5.5,2,5,3,13,5.2,6,3,27.040000000000003
2.3,2,5,3,13,2.3,7,4,5.289999999999999
1.7,2,3,3,20,3.3,3,3,10.889999999999999
2.4,3,5,4,13,2.3,4,4,5.289999999999999
2.75,2,4,4,13,4.0,7,4,16.0
2.25,2,4,3,13,3.2,7,4,10.240000000000002
1.8,2,4,4,13,4.2,3,4,17.64
2.5,2,3,3,14,3.2,4,4,10.240000000000002
1.65,1,1,1,13,3.1,7,4,9.610000000000001
5.1,2,5,5,12,6.3,3,4,39.69
5.99,2,5,3,20,7.0,4,4,49.0
3.25,2,4,3,20,4.3,7,4,18.49
2.75,2,5,5,13,3.2,4,4,10.240000000000002
1.27,1,2,1,13,4.0,7,0,16.0
2.25,2,4,4,20,4.0,13,3,16.0
6.1,3,6,4,18,6.0,11,4,36.0
3.69,3,5,4,18,4.1,2,4,16.81
2.3,2,3,2,20,2.3,11,4,5.289999999999999
3.2,2,5,5,14,4.0,2,3,16.0
1.55,2,6,3,20,3.2,3,0,10.240000000000002
4.25,2,7,6,13,4.2,1,3,17.64
6.5,2,9,4,24,7.0,7,3,49.0
3.5,2,6,5,15,4.0,5,3,16.0
2.8,3,6,6,16,3.2,5,3,10.240000000000002
1.33,1,2,1,13,3.0,4,4,9.0
1.6,2,4,2,13,2.2,6,4,4.840000000000001
2.5,2,4,4,13,3.1,13,4,9.610000000000001
2.8,2,5,4,20,3.0,5,4,9.0
2.7,2,5,3,14,3.2,5,4,10.240000000000002
3.99,2,5,5,16,4.2,5,4,17.64
4.99,3,4,4,16,5.0,5,4,25.0
1.7,2,5,3,10,4.2,5,4,17.64
4.25,2,4,4,20,3.3,5,4,10.889999999999999
1.7,2,4,2,13,3.0,4,4,9.0
5.25,2,5,4,20,5.0,5,0,25.0
2.5,2,7,3,13,5.0,7,0,25.0
3.2,2,7,5,13,4.2,2,3,17.64
2.5,3,6,3,18,3.2,5,4,10.240000000000002
2.35,2,4,3,13,3.2,5,4,10.240000000000002
2.0,3,7,5,20,3.2,7,3,10.240000000000002
3.9,2,3,4,13,3.0,5,3,9.0
3.3,2,5,5,12,6.0,5,3,36.0
6.03,3,4,4,16,5.0,1,3,25.0
1.65,2,4,2,16,3.1,5,4,9.610000000000001
2.25,2,4,4,20,3.1,5,4,9.610000000000001
3.3,2,6,5,13,6.2,5,3,38.440000000000005
7.5,3,8,6,16,9.1,5,3,82.80999999999999
2.75,3,5,3,13,3.1,4,4,9.610000000000001
2.85,2,6,5,12,3.2,4,4,10.240000000000002
3.15,2,6,5,14,4.0,1,3,16.0
2.75,2,7,4,13,4.0,8,4,16.0
2.35,3,6,4,13,3.0,7,4,9.0
2.9,2,6,4,20,5.2,7,4,27.040000000000003
2.55,3,6,5,13,3.0,7,4,9.0
3.25,2,3,4,20,4.0,5,4,16.0
2.7,3,5,4,13,3.3,5,4,10.889999999999999
2.45,2,4,4,13,3.1,8,4,9.610000000000001
2.95,2,5,5,13,4.2,8,4,17.64
2.5,2,5,3,12,4.0,1,3,16.0
3.88,5,5,7,10,4.0,9,4,16.0
4.5,2,6,3,13,6.0,7,4,36.0
2.4,3,4,4,13,2.3,8,4,5.289999999999999
2.3,3,4,4,13,2.2,8,4,4.840000000000001
2.65,3,4,5,13,4.0,7,4,16.0
3.2,2,5,4,13,4.1,5,4,16.81
2.9,2,5,5,13,3.0,5,4,9.0
2.75,3,6,4,20,3.0,7,4,9.0
2.55,3,6,6,13,3.2,8,4,10.240000000000002
2.75,2,5,5,13,3.1,8,4,9.610000000000001
3.4,3,5,4,26,3.2,5,4,10.240000000000002
2.75,2,4,4,20,3.2,5,4,10.240000000000002
4.25,2,5,3,20,4.1,8,4,16.81
1.6,2,4,3,13,5.2,11,4,27.040000000000003
3.55,2,6,4,13,3.2,2,3,10.240000000000002
2.75,2,6,4,13,3.0,9,4,9.0
5.9,2,6,5,20,7.1,7,4,50.41
2.85,2,4,3,20,4.0,5,4,16.0
2.75,3,5,3,12,4.0,5,4,16.0
2.8,2,6,4,13,3.1,11,4,9.610000000000001
3.25,2,6,4,14,4.0,18,4,16.0
3.9,2,6,5,13,4.2,10,3,17.64
4.25,2,4,6,20,4.0,15,3,16.0
3.4,2,5,4,13,4.1,9,0,16.81
4.75,3,4,5,20,7.0,13,3,49.0
3.45,2,4,4,13,3.3,9,3,10.889999999999999
2.9,2,11,4,20,6.1,5,3,37.209999999999994
2.65,3,5,4,13,2.9,5,4,8.41
1.5,2,4,4,15,6.0,17,4,36.0
4.25,3,7,5,16,4.2,22,4,17.64
4.2,3,6,5,12,4.2,11,4,17.64
2.75,2,7,6,20,3.2,5,3,10.240000000000002
2.95,3,5,4,16,4.2,7,3,17.64
4.5,5,7,4,27,2.2,16,3,4.840000000000001
2.1,2,4,4,14,7.0,9,3,49.0
3.9,2,6,4,16,4.3,11,4,18.49
2.75,2,4,4,20,4.0,11,4,16.0
4.6,2,4,5,13,7.2,10,3,51.84
2.4,2,6,5,13,3.2,11,3,10.240000000000002
6.0,3,8,5,13,10.2,9,3,104.03999999999999
3.85,3,6,5,13,4.2,9,3,17.64
2.8,2,5,4,13,4.0,5,3,16.0
3.0,2,5,4,14,4.2,5,4,17.64
2.6,2,5,3,20,3.0,17,4,9.0
2.55,3,5,5,12,3.0,11,3,9.0
5.0,2,5,3,20,8.0,7,3,64.0
3.3,2,4,4,13,5.2,11,3,27.040000000000003
1.6,2,4,4,13,2.2,11,3,4.840000000000001
3.25,2,5,4,13,4.0,16,3,16.0
3.9,2,5,6,20,5.2,22,3,27.040000000000003
5.5,2,6,3,13,9.0,12,4,81.0
4.25,2,5,4,16,4.2,2,4,17.64
3.1,2,4,3,13,4.0,2,4,16.0
3.5,2,5,3,13,5.0,5,3,25.0
3.7,2,4,4,20,3.2,26,3,10.240000000000002
2.85,2,6,4,13,3.0,11,4,9.0
3.65,3,7,4,13,4.0,9,4,16.0
3.3,2,6,4,13,3.2,2,3,10.240000000000002
6.25,2,5,7,20,6.0,26,3,36.0
7.5,2,7,6,13,8.0,9,3,64.0
3.5,2,3,3,30,3.1,12,4,9.610000000000001
3.1,2,4,4,13,3.2,12,4,10.240000000000002
2.35,3,6,3,13,3.0,2,4,9.0
2.95,3,4,4,13,3.0,2,4,9.0
4.65,3,6,4,13,5.0,5,3,25.0
3.15,3,6,6,13,4.0,8,3,16.0
1.5,2,5,2,20,4.0,5,3,16.0
2.25,2,2,2,13,9.0,9,3,81.0
1.9,2,4,4,13,2.3,2,4,5.289999999999999
3.1,2,4,4,13,3.3,26,4,10.889999999999999
4.35,2,4,4,20,4.2,9,4,17.64
3.1,3,5,4,13,4.0,9,4,16.0
5.5,2,6,3,20,6.0,8,3,36.0
6.0,5,10,6,12,7.1,5,3,50.41
2.8,2,5,4,13,3.0,12,4,9.0
2.75,3,6,5,13,3.1,3,4,9.610000000000001
2.95,2,5,4,13,3.2,8,4,10.240000000000002
1.95,3,5,6,23,2.3,5,4,5.289999999999999
2.7,2,5,4,13,3.2,20,4,10.240000000000002
2.8,2,6,4,16,4.0,12,4,16.0
2.9,2,3,3,14,3.0,10,4,9.0
2.9,3,5,5,13,3.2,2,4,10.240000000000002
2.9,2,4,4,13,3.2,5,4,10.240000000000002
4.5,3,4,4,13,5.0,5,4,25.0
2.25,2,4,2,13,2.3,12,3,5.289999999999999
2.6,2,5,5,14,3.0,11,3,9.0
3.3,3,8,5,13,4.3,2,0,18.49
2.7,2,3,4,20,3.0,11,4,9.0
2.75,2,5,5,13,4.1,9,4,16.81
1.6,2,5,3,12,2.2,23,3,4.840000000000001
4.7,2,6,3,14,7.0,9,3,49.0
2.5,2,4,4,13,3.1,12,4,9.610000000000001
2.5,2,4,3,13,3.2,12,4,10.240000000000002
2.3,3,9,3,12,4.0,5,3,16.0
3.5,2,8,4,8,8.0,8,3,64.0
2.7,4,8,4,11,4.0,5,3,16.0
7.0,2,5,4,20,5.0,9,4,25.0
3.5,2,3,4,22,3.3,9,4,10.889999999999999
2.5,2,6,3,16,3.0,9,4,9.0
4.5,2,9,4,13,3.0,9,3,9.0
2.6,2,3,4,20,3.0,5,3,9.0
3.45,2,6,5,13,4.0,8,3,16.0
3.75,2,6,5,14,5.0,5,3,25.0
3.0,2,4,3,10,5.0,6,0,25.0
6.5,2,6,3,13,8.0,23,3,64.0
3.0,2,8,4,14,4.2,23,3,17.64
1.75,2,11,3,12,3.0,11,3,9.0
2.95,2,4,4,13,4.2,9,3,17.64
4.3,3,6,4,13,6.0,23,4,36.0
3.1,2,6,5,13,3.1,5,4,9.610000000000001
4.5,3,7,7,13,6.3,8,4,39.69
2.65,2,5,4,13,3.0,5,4,9.0
2.95,2,5,4,13,3.2,9,4,10.240000000000002
3.75,2,5,4,20,5.0,9,3,25.0
2.55,2,4,4,13,3.0,23,4,9.0
2.25,2,5,3,20,2.3,13,4,5.289999999999999
2.85,2,9,4,13,3.0,9,4,9.0
6.0,2,8,5,13,6.0,13,3,36.0
1.65,2,3,3,13,2.2,11,3,4.840000000000001
3.35,3,10,5,13,4.0,23,3,16.0
3.5,3,6,4,11,5.0,6,3,25.0
2.75,2,9,4,13,5.0,11,3,25.0
2.25,2,7,3,13,3.0,9,4,9.0
2.5,3,7,6,13,3.0,5,4,9.0
2.8,3,6,6,15,5.3,8,4,28.09
2.6,3,5,3,13,2.2,5,4,4.840000000000001
2.8,3,4,4,13,3.0,9,4,9.0
2.7,2,5,4,13,3.2,9,4,10.240000000000002
2.9,4,22,8,6,3.2,9,3,10.240000000000002
3.25,3,5,5,16,3.3,6,4,10.889999999999999
2.7,2,3,4,20,3.0,13,4,9.0
6.5,2,4,5,14,7.0,16,3,49.0
2.75,3,7,4,13,3.0,5,4,9.0
2.3,3,5,4,10,2.3,5,3,5.289999999999999
5.75,2,4,4,13,5.2,5,3,27.040000000000003
5.0,2,4,4,13,4.0,13,3,16.0
1.75,2,5,5,14,3.0,2,3,9.0
5.5,2,7,4,10,5.0,2,3,25.0
4.65,3,6,6,13,4.3,6,3,18.49
3.5,3,3,2,13,2.5,2,4,6.25
2.8,6,22,8,6,3.2,21,3,10.240000000000002
7.35,3,4,3,13,9.1,11,3,82.80999999999999
2.3,2,5,3,13,3.0,12,3,9.0
3.9,2,6,6,14,6.0,21,3,36.0
3.5,3,7,4,18,4.0,6,4,16.0
1.6,2,5,3,12,2.2,21,3,4.840000000000001
2.8,3,5,5,13,3.3,9,0,10.889999999999999
4.0,3,10,4,16,4.0,5,3,16.0
2.25,2,4,3,20,3.2,11,3,10.240000000000002
2.9,2,4,3,15,4.0,5,4,16.0
2.65,2,4,2,20,3.0,6,3,9.0
3.0,4,6,6,13,4.0,21,3,16.0
5.55,3,6,6,20,6.2,3,3,38.440000000000005
3.38,2,4,3,13,3.2,12,3,10.240000000000002
2.9,2,5,5,13,5.0,6,3,25.0
2.6,2,5,3,13,3.2,6,4,10.240000000000002
3.25,3,6,3,18,3.2,21,3,10.240000000000002
4.5,3,7,6,13,5.1,15,3,26.009999999999998
1.55,2,4,2,4,4.2,9,4,17.64
2.75,2,6,4,10,3.2,13,3,10.240000000000002
7.3,2,4,3,20,6.4,13,4,40.96000000000001
2.5,2,4,3,16,5.0,16,3,25.0
3.2,2,5,4,13,4.0,3,3,16.0
3.9,2,4,3,26,4.0,16,3,16.0
6.0,2,6,4,13,9.0,16,4,81.0
4.6,2,6,5,13,7.0,6,4,49.0
4.95,3,8,7,12,8.2,13,3,67.24
2.8,3,8,4,13,5.0,19,3,25.0
6.0,5,10,6,24,6.0,9,3,36.0
2.15,3,3,3,13,2.3,2,4,5.289999999999999
2.15,3,4,3,12,3.0,16,3,9.0
6.0,3,5,4,13,10.2,5,3,104.03999999999999
3.8,2,7,4,13,4.2,5,4,17.64
2.75,2,5,4,13,4.0,5,3,16.0
5.8,3,8,3,20,6.0,13,3,36.0
4.25,3,7,3,20,5.0,5,4,25.0
2.75,3,8,3,12,3.3,21,3,10.889999999999999
5.0,2,3,3,20,6.0,3,4,36.0
3.9,2,6,4,13,4.3,6,4,18.49
4.25,2,3,3,14,4.0,5,4,16.0
5.65,2,4,5,20,4.1,16,3,16.81
3.1,2,4,3,13,4.1,5,3,16.81
2.25,1,6,3,16,3.0,11,4,9.0
4.5,2,4,3,16,7.0,8,4,49.0
2.2,2,5,4,13,3.0,5,4,9.0
4.5,2,4,3,13,4.2,13,4,17.64
2.0,2,4,3,13,2.5,5,4,6.25
5.5,2,3,3,13,4.0,21,3,16.0
3.6,2,7,7,20,12.0,6,3,144.0
3.7,2,4,3,14,3.2,5,3,10.240000000000002
3.4,3,6,4,13,4.0,13,3,16.0
5.75,2,4,3,12,9.0,6,3,81.0
6.75,2,5,5,15,6.0,5,3,36.0
2.2,2,6,3,10,5.0,3,3,25.0
2.3,2,5,5,13,2.3,5,4,5.289999999999999
1.5,1,2,1,10,3.1,21,3,9.610000000000001
1.68,3,3,3,20,1.1,32,3,1.2100000000000002
1.73,2,1,1,15,3.0,11,3,9.0
2.2,2,6,3,10,5.0,7,3,25.0
3.1,2,5,3,13,3.8,6,3,14.44
2.99,2,5,5,13,4.0,5,3,16.0
2.1,2,5,3,10,3.0,3,3,9.0
1.3,1,2,1,13,4.2,5,3,17.64
1.85,1,2,1,16,5.2,32,3,27.040000000000003
1.7,1,2,1,20,4.0,32,3,16.0
6.0,5,1,1,33,3.0,11,3,9.0
2.65,2,6,4,13,3.2,6,3,10.240000000000002
1.95,2,5,4,13,4.0,5,4,16.0
2.3,2,3,2,27,3.0,5,3,9.0
3.25,2,5,5,13,4.0,5,4,16.0
2.6,2,4,3,10,4.0,8,4,16.0
2.95,2,8,3,13,3.2,34,4,10.240000000000002
6.8,2,6,3,14,8.2,31,3,67.24
1.55,1,4,2,15,2.2,4,3,4.840000000000001
2.2,2,6,5,43,3.0,3,4,9.0
4.3,2,5,4,16,7.0,6,0,49.0
3.45,2,6,3,13,3.2,21,3,10.240000000000002
2.5,2,6,3,13,3.2,15,3,10.240000000000002
3.65,2,5,3,14,5.1,9,4,26.009999999999998
5.49,2,5,5,13,7.0,4,3,49.0
7.5,2,6,6,13,9.2,13,3,84.63999999999999
3.7,2,4,5,12,6.0,16,3,36.0
3.8,3,6,4,20,4.0,3,4,16.0
6.75,2,5,4,26,7.0,16,3,49.0
3.1,3,7,3,13,3.2,9,4,10.240000000000002
4.0,2,5,4,13,5.2,31,0,27.040000000000003
5.5,2,5,5,15,5.2,13,3,27.040000000000003
3.1,2,6,6,13,4.3,31,3,18.49
2.2,2,4,3,13,3.3,23,3,10.889999999999999
3.3,2,6,4,20,3.2,13,4,10.240000000000002
2.9,2,6,4,20,3.0,3,4,9.0
5.25,4,8,6,18,7.2,4,4,51.84
3.99,2,6,3,16,3.4,4,4,11.559999999999999
5.5,3,5,5,20,7.0,4,4,49.0
2.75,2,7,5,20,3.1,3,4,9.610000000000001
3.2,2,5,6,13,3.1,3,3,9.610000000000001
3.5,2,5,4,20,5.0,6,3,25.0
2.0,2,6,2,15,2.8,3,1,7.839999999999999
3.85,2,4,4,13,4.0,6,3,16.0
2.5,2,6,4,13,3.0,6,3,9.0
2.8,3,7,4,11,4.2,1,3,17.64
3.45,2,6,5,13,4.0,3,3,16.0
4.0,2,4,6,11,3.2,3,3,10.240000000000002
2.75,2,6,3,20,5.0,4,3,25.0
3.25,2,3,3,14,4.0,6,3,16.0
1.2,1,2,2,12,3.0,3,3,9.0
1.9,1,3,1,10,3.2,7,3,10.240000000000002
5.5,2,3,3,11,9.0,3,3,81.0
1.6,2,4,2,8,2.5,3,3,6.25
2.45,2,3,3,13,3.3,5,3,10.889999999999999
2.1,3,7,3,13,3.0,6,3,9.0
3.9,3,6,3,12,3.2,5,3,10.240000000000002
4.5,2,5,5,14,3.8,3,4,14.44
3.1,2,6,4,13,3.0,4,3,9.0
2.35,2,3,3,13,2.2,6,3,4.840000000000001
2.0,2,3,2,13,2.3,3,2,5.289999999999999
4.7,3,5,4,13,4.3,7,4,18.49
3.05,2,5,4,13,4.2,1,3,17.64
2.0,2,7,3,12,3.2,3,3,10.240000000000002
3.0,2,4,4,12,3.0,3,0,9.0
2.8,2,5,3,15,3.2,3,4,10.240000000000002
3.6,2,4,5,13,4.1,4,4,16.81
2.85,2,4,3,13,3.2,7,3,10.240000000000002
2.5,2,2,3,14,3.1,6,4,9.610000000000001
5.5,6,8,6,20,4.0,7,3,16.0
7.5,2,4,4,20,9.0,7,3,81.0
3.75,2,7,5,15,5.0,3,2,25.0
2.2,2,5,3,13,3.3,4,3,10.889999999999999
2.2,2,5,3,12,3.1,3,3,9.610000000000001
5.25,6,19,19,13,3.0,7,3,9.0
1.9,2,6,4,16,4.0,13,4,16.0
3.0,2,8,6,26,4.0,11,3,16.0
1.0,1,3,1,13,5.0,2,3,25.0
2.0,2,4,2,14,3.0,2,4,9.0
3.5,2,5,3,12,4.0,3,3,16.0
2.4,2,4,3,13,3.2,1,4,10.240000000000002
2.65,2,6,3,13,3.0,7,3,9.0
2.6,2,5,4,12,3.5,4,4,12.25
4.0,2,5,4,20,5.0,6,3,25.0
2.9,3,5,6,13,4.2,5,3,17.64
1.3,1,3,1,13,3.2,5,3,10.240000000000002
3.5,3,5,3,12,4.0,5,3,16.0
3.55,2,5,1,13,4.1,5,3,16.81
5.5,2,5,4,20,6.1,4,4,37.209999999999994
3.6,3,4,1,13,5.0,7,4,25.0
1.3,1,2,1,13,4.2,2,3,17.64
1.2,1,2,1,10,3.0,5,3,9.0
1.7,2,6,2,13,2.2,5,4,4.840000000000001
2.75,2,5,3,20,3.1,5,4,9.610000000000001
6.5,2,7,5,16,8.0,5,4,64.0
5.9,2,4,4,15,5.0,11,4,25.0
3.65,2,6,3,13,4.0,1,3,16.0
2.75,3,8,3,15,3.0,5,3,9.0
1.6,2,6,3,15,3.3,5,3,10.889999999999999
2.5,3,7,4,15,4.0,5,3,16.0
3.87,3,7,6,30,4.0,4,3,16.0
4.5,2,5,3,12,5.2,4,3,27.040000000000003
2.45,2,5,3,15,3.0,7,3,9.0
3.0,3,4,3,13,4.0,1,3,16.0
2.2,1,2,2,15,3.8,5,3,14.44
2.65,2,6,4,20,3.3,5,3,10.889999999999999
1.65,1,2,1,12,3.0,8,3,9.0
3.6,2,7,7,20,5.0,9,4,25.0
2.3,2,5,3,18,3.0,8,3,9.0
